text,sentiment
Regret buying this.,Negative
Not happy with the purchase.,Negative
This is fantastic!,Positive
Worst experience ever.,Negative
This is awful!,Negative
Best app ever!,Positive
I went to the store today.,Neutral
Worst experience ever.,Negative
Not happy with the purchase.,Negative
Working from home.,Neutral
So happy with the product!,Positive
Reading a book.,Neutral
Horrible support team.,Negative
This service is terrible.,Negative
This is fantastic!,Positive
So frustrated with the delay.,Negative
The weather is fine.,Neutral
It is raining today.,Neutral
This is fantastic!,Positive
I went to the store today.,Neutral
So happy with the product!,Positive
I am going for a walk.,Neutral
Very disappointed with the product.,Negative
Had a great experience.,Positive
I have a meeting at 10 AM.,Neutral
Amazing service today!,Positive
I went to the store today.,Neutral
I went to the store today.,Neutral
Really enjoyed this movie!,Positive
Just an average day.,Neutral
Worst experience ever.,Negative
I went to the store today.,Neutral
Horrible support team.,Negative
Completely unsatisfied.,Negative
Nothing special about this event.,Neutral
Nothing special about this event.,Neutral
Working from home.,Neutral
It is raining today.,Neutral
Wonderful day!,Positive
The weather is fine.,Neutral
Very disappointed with the product.,Negative
This service is terrible.,Negative
Superb performance!,Positive
Reading a book.,Neutral
Completely unsatisfied.,Negative
I love this new phone!,Positive
Worst experience ever.,Negative
Just an average day.,Neutral
I am going for a walk.,Neutral
Very disappointed with the product.,Negative
Wonderful day!,Positive
Best app ever!,Positive
I have a meeting at 10 AM.,Neutral
I have a meeting at 10 AM.,Neutral
So frustrated with the delay.,Negative
So happy with the product!,Positive
I am going for a walk.,Neutral
This is fantastic!,Positive
I love this new phone!,Positive
I am thrilled with the results!,Positive
Worst experience ever.,Negative
Very disappointed with the product.,Negative
Horrible support team.,Negative
The product is okay.,Neutral
Really enjoyed this movie!,Positive
I love this new phone!,Positive
The product is okay.,Neutral
Amazing service today!,Positive
So happy with the product!,Positive
I went to the store today.,Neutral
I have a meeting at 10 AM.,Neutral
Superb performance!,Positive
I hate this app!,Negative
Reading a book.,Neutral
I went to the store today.,Neutral
Just an average day.,Neutral
I hate this app!,Negative
Nothing special about this event.,Neutral
I am going for a walk.,Neutral
I am thrilled with the results!,Positive
I am going for a walk.,Neutral
This service is terrible.,Negative
I hate this app!,Negative
So happy with the product!,Positive
Horrible support team.,Negative
Just an average day.,Neutral
Working from home.,Neutral
I went to the store today.,Neutral
Completely unsatisfied.,Negative
I am thrilled with the results!,Positive
Nothing special about this event.,Neutral
Completely unsatisfied.,Negative
This is fantastic!,Positive
Superb performance!,Positive
Had a great experience.,Positive
So happy with the product!,Positive
The product is okay.,Neutral
It is raining today.,Neutral
The product is okay.,Neutral
The product is okay.,Neutral
Reading a book.,Neutral
I went to the store today.,Neutral
Regret buying this.,Negative
Worst experience ever.,Negative
Reading a book.,Neutral
Reading a book.,Neutral
I hate this app!,Negative
This service is terrible.,Negative
Had a great experience.,Positive
I have a meeting at 10 AM.,Neutral
Very disappointed with the product.,Negative
Just an average day.,Neutral
Superb performance!,Positive
Had a great experience.,Positive
Wonderful day!,Positive
I am thrilled with the results!,Positive
Wonderful day!,Positive
Superb performance!,Positive
Very disappointed with the product.,Negative
Had a great experience.,Positive
Had a great experience.,Positive
The weather is fine.,Neutral
The weather is fine.,Neutral
The weather is fine.,Neutral
Superb performance!,Positive
The product is okay.,Neutral
Horrible support team.,Negative
So happy with the product!,Positive
I love this new phone!,Positive
So frustrated with the delay.,Negative
I hate this app!,Negative
I am thrilled with the results!,Positive
I hate this app!,Negative
This service is terrible.,Negative
Just an average day.,Neutral
Really enjoyed this movie!,Positive
The weather is fine.,Neutral
So frustrated with the delay.,Negative
Horrible support team.,Negative
The product is okay.,Neutral
Reading a book.,Neutral
This is fantastic!,Positive
Worst experience ever.,Negative
I went to the store today.,Neutral
I went to the store today.,Neutral
I hate this app!,Negative
I hate this app!,Negative
So frustrated with the delay.,Negative
Very disappointed with the product.,Negative
The product is okay.,Neutral
I am thrilled with the results!,Positive
Regret buying this.,Negative
So happy with the product!,Positive
This is awful!,Negative
Just an average day.,Neutral
This service is terrible.,Negative
Just an average day.,Neutral
I love this new phone!,Positive
I am thrilled with the results!,Positive
I love this new phone!,Positive
I have a meeting at 10 AM.,Neutral
Not happy with the purchase.,Negative
Not happy with the purchase.,Negative
I am thrilled with the results!,Positive
Not happy with the purchase.,Negative
Not happy with the purchase.,Negative
I have a meeting at 10 AM.,Neutral
Just an average day.,Neutral
Completely unsatisfied.,Negative
So frustrated with the delay.,Negative
Very disappointed with the product.,Negative
Very disappointed with the product.,Negative
I hate this app!,Negative
The product is okay.,Neutral
This is awful!,Negative
I am going for a walk.,Neutral
Nothing special about this event.,Neutral
So frustrated with the delay.,Negative
Completely unsatisfied.,Negative
Superb performance!,Positive
I am going for a walk.,Neutral
I am thrilled with the results!,Positive
I went to the store today.,Neutral
I hate this app!,Negative
Working from home.,Neutral
I hate this app!,Negative
Really enjoyed this movie!,Positive
Nothing special about this event.,Neutral
I hate this app!,Negative
This service is terrible.,Negative
Working from home.,Neutral
Superb performance!,Positive
Amazing service today!,Positive
This service is terrible.,Negative
Very disappointed with the product.,Negative
Wonderful day!,Positive
Had a great experience.,Positive
Just an average day.,Neutral
Really enjoyed this movie!,Positive
I hate this app!,Negative
Regret buying this.,Negative
Nothing special about this event.,Neutral
Completely unsatisfied.,Negative
This is awful!,Negative
It is raining today.,Neutral
Horrible support team.,Negative
Really enjoyed this movie!,Positive
I am thrilled with the results!,Positive
The weather is fine.,Neutral
Reading a book.,Neutral
Best app ever!,Positive
This is fantastic!,Positive
It is raining today.,Neutral
Horrible support team.,Negative
Reading a book.,Neutral
Just an average day.,Neutral
Working from home.,Neutral
I went to the store today.,Neutral
This is fantastic!,Positive
Horrible support team.,Negative
Really enjoyed this movie!,Positive
It is raining today.,Neutral
This is fantastic!,Positive
Completely unsatisfied.,Negative
Wonderful day!,Positive
I am thrilled with the results!,Positive
The weather is fine.,Neutral
Working from home.,Neutral
This is fantastic!,Positive
Just an average day.,Neutral
So happy with the product!,Positive
So frustrated with the delay.,Negative
I have a meeting at 10 AM.,Neutral
The weather is fine.,Neutral
I hate this app!,Negative
Completely unsatisfied.,Negative
Nothing special about this event.,Neutral
Superb performance!,Positive
Amazing service today!,Positive
Worst experience ever.,Negative
The weather is fine.,Neutral
Nothing special about this event.,Neutral
I love this new phone!,Positive
Nothing special about this event.,Neutral
Nothing special about this event.,Neutral
Amazing service today!,Positive
Completely unsatisfied.,Negative
So happy with the product!,Positive
Wonderful day!,Positive
Completely unsatisfied.,Negative
Reading a book.,Neutral
This service is terrible.,Negative
I am going for a walk.,Neutral
I hate this app!,Negative
Wonderful day!,Positive
Very disappointed with the product.,Negative
This is fantastic!,Positive
I have a meeting at 10 AM.,Neutral
Not happy with the purchase.,Negative
Wonderful day!,Positive
I have a meeting at 10 AM.,Neutral
Regret buying this.,Negative
I am going for a walk.,Neutral
I am thrilled with the results!,Positive
I love this new phone!,Positive
This is awful!,Negative
I love this new phone!,Positive
Working from home.,Neutral
This is awful!,Negative
So frustrated with the delay.,Negative
So happy with the product!,Positive
I am going for a walk.,Neutral
I am going for a walk.,Neutral
I am going for a walk.,Neutral
Worst experience ever.,Negative
I went to the store today.,Neutral
The product is okay.,Neutral
Nothing special about this event.,Neutral
Completely unsatisfied.,Negative
It is raining today.,Neutral
I love this new phone!,Positive
Superb performance!,Positive
I went to the store today.,Neutral
So happy with the product!,Positive
I love this new phone!,Positive
I am going for a walk.,Neutral
The weather is fine.,Neutral
Not happy with the purchase.,Negative
The product is okay.,Neutral
Amazing service today!,Positive
Worst experience ever.,Negative
Reading a book.,Neutral
I have a meeting at 10 AM.,Neutral
Really enjoyed this movie!,Positive
Superb performance!,Positive
Superb performance!,Positive
Worst experience ever.,Negative
Amazing service today!,Positive
Working from home.,Neutral
Completely unsatisfied.,Negative
